year_month,year,month,series_name,category,region,value,index_2015,pct_change_2015
2017-06-01,2017,6,Other_Processed,processed_food,National,209.742,100.19749651962644,0.19749651962643203
2017-07-01,2017,7,Other_Processed,processed_food,National,209.919,100.28205257842235,0.28205257842236214
2017-08-01,2017,8,Other_Processed,processed_food,National,209.803,100.22663730825101,0.22663730825101805
2017-09-01,2017,9,Other_Processed,processed_food,National,210.055,100.34702220551979,0.34702220551979024
2017-10-01,2017,10,Other_Processed,processed_food,National,209.684,100.16978888454075,0.16978888454076677
2017-11-01,2017,11,Other_Processed,processed_food,National,210.266,100.44782067109006,0.4478206710900604
2017-12-01,2017,12,Other_Processed,processed_food,National,210.191,100.41199183261722,0.41199183261721833
2018-01-01,2018,1,Other_Processed,processed_food,National,210.735,100.67187034100695,0.6718703410069442
2018-02-01,2018,2,Other_Processed,processed_food,National,210.388,100.50610224833922,0.5061022483392325
2018-03-01,2018,3,Other_Processed,processed_food,National,209.911,100.27823083565193,0.2782308356519204
2018-04-01,2018,4,Other_Processed,processed_food,National,209.883,100.2648547359554,0.26485473595539466
2018-05-01,2018,5,Other_Processed,processed_food,National,209.875,100.26103299318495,0.261032993184953
2018-06-01,2018,6,Other_Processed,processed_food,National,209.747,100.19988510885796,0.1998851088579666
2018-07-01,2018,7,Other_Processed,processed_food,National,209.774,100.21278349070819,0.2127834907081854
2018-08-01,2018,8,Other_Processed,processed_food,National,209.637,100.14733614576446,0.1473361457644504
2018-09-01,2018,9,Other_Processed,processed_food,National,210.348,100.48699353448704,0.48699353448705085
2018-10-01,2018,10,Other_Processed,processed_food,National,210.163,100.39861573292069,0.39861573292069263
2018-11-01,2018,11,Other_Processed,processed_food,National,211.304,100.94369179555427,0.9436917955542752
2018-12-01,2018,12,Other_Processed,processed_food,National,210.875,100.73875083948958,0.7387508394895864
2019-01-01,2019,1,Other_Processed,processed_food,National,211.182,100.88541021830511,0.8854102183051031
2019-02-01,2019,2,Other_Processed,processed_food,National,211.568,101.06980930697871,1.0698093069787034
2019-03-01,2019,3,Other_Processed,processed_food,National,211.435,101.00627283342018,1.0062728334201823
2019-04-01,2019,4,Other_Processed,processed_food,National,210.265,100.44734295324376,0.4473429532437535
2019-05-01,2019,5,Other_Processed,processed_food,National,210.389,100.50657996618556,0.5065799661855394
2019-06-01,2019,6,Other_Processed,processed_food,National,211.621,101.09512835283286,1.0951283528328475
2019-07-01,2019,7,Other_Processed,processed_food,National,210.059,100.348933076905,0.3489330769050043
2019-08-01,2019,8,Other_Processed,processed_food,National,210.364,100.49463702002792,0.49463702002792076
2019-09-01,2019,9,Other_Processed,processed_food,National,211.322,100.95229071678776,0.9522907167877589
2019-10-01,2019,10,Other_Processed,processed_food,National,211.378,100.9790429161808,0.9790429161808103
2019-11-01,2019,11,Other_Processed,processed_food,National,211.969,101.26137416334686,1.2613741633468527
2019-12-01,2019,12,Other_Processed,processed_food,National,211.524,101.0487897217413,1.048789721741294
2020-01-01,2020,1,Other_Processed,processed_food,National,211.796,101.17872897593617,1.1787289759361501
2020-02-01,2020,2,Other_Processed,processed_food,National,213.503,101.99419333957816,1.9941933395781566
2020-03-01,2020,3,Other_Processed,processed_food,National,214.334,102.39117686985733,2.3911768698573153
2020-04-01,2020,4,Other_Processed,processed_food,National,218.519,104.39042605664221,4.390426056642208
2020-05-01,2020,5,Other_Processed,processed_food,National,218.668,104.4616060157416,4.461606015741598
2020-06-01,2020,6,Other_Processed,processed_food,National,218.78,104.51511041452773,4.515110414527715
2020-07-01,2020,7,Other_Processed,processed_food,National,218.38,104.32402327600585,4.324023276005859
2020-08-01,2020,8,Other_Processed,processed_food,National,219.355,104.78979817615289,4.789798176152874
2020-09-01,2020,9,Other_Processed,processed_food,National,218.16,104.21892534981885,4.218925349818839
2020-10-01,2020,10,Other_Processed,processed_food,National,218.621,104.43915327696529,4.439153276965282
2020-11-01,2020,11,Other_Processed,processed_food,National,217.945,104.11621601286333,4.116216012863342
2020-12-01,2020,12,Other_Processed,processed_food,National,219.719,104.96368747220777,4.963687472207763
2021-01-01,2021,1,Other_Processed,processed_food,National,218.923,104.58342406654928,4.583424066549278
2021-02-01,2021,2,Other_Processed,processed_food,National,219.476,104.84760203555574,4.847602035555738
2021-03-01,2021,3,Other_Processed,processed_food,National,219.016,104.62785182625561,4.627851826255604
2021-04-01,2021,4,Other_Processed,processed_food,National,219.536,104.87626510633402,4.876265106334018
2021-05-01,2021,5,Other_Processed,processed_food,National,219.433,104.82706016816464,4.827060168164636
2021-06-01,2021,6,Other_Processed,processed_food,National,219.649,104.93024722296644,4.930247222966441
2021-07-01,2021,7,Other_Processed,processed_food,National,221.145,105.64491312103819,5.6449131210381776
2021-08-01,2021,8,Other_Processed,processed_food,National,222.498,106.29126536708833,6.291265367088338
2021-09-01,2021,9,Other_Processed,processed_food,National,224.89,107.43396645544902,7.433966455449018
2021-10-01,2021,10,Other_Processed,processed_food,National,227.382,108.62443932844018,8.624439328440173
2021-11-01,2021,11,Other_Processed,processed_food,National,230.476,110.1024983449067,10.102498344906707
2021-12-01,2021,12,Other_Processed,processed_food,National,232.125,110.89025507346304,10.890255073463049
2022-01-01,2022,1,Other_Processed,processed_food,National,235.156,112.33821786561239,12.338217865612396
2022-02-01,2022,2,Other_Processed,processed_food,National,237.582,113.49716136074744,13.49716136074743
2022-03-01,2022,3,Other_Processed,processed_food,National,241.556,115.39561208196206,15.395612081962051
2022-04-01,2022,4,Other_Processed,processed_food,National,243.654,116.39786412350917,16.397864123509166
2022-05-01,2022,5,Other_Processed,processed_food,National,247.102,118.04503525756755,18.045035257567545
2022-06-01,2022,6,Other_Processed,processed_food,National,251.358,120.07820241144007,20.078202411440067
2022-07-01,2022,7,Other_Processed,processed_food,National,256.116,122.35118392415751,22.351183924157503
2022-08-01,2022,8,Other_Processed,processed_food,National,259.456,123.94676153081498,23.946761530814996
2022-09-01,2022,9,Other_Processed,processed_food,National,260.206,124.30504991554348,24.30504991554347
2022-10-01,2022,10,Other_Processed,processed_food,National,262.306,125.30825739278318,25.308257392783183
2022-11-01,2022,11,Other_Processed,processed_food,National,262.661,125.47784722822132,25.477847228221336
2022-12-01,2022,12,Other_Processed,processed_food,National,264.569,126.38933287897058,26.389332878970585
2023-01-01,2023,1,Other_Processed,processed_food,National,266.008,127.07676885980294,27.076768859802936
2023-02-01,2023,2,Other_Processed,processed_food,National,267.126,127.61085741197151,27.610857411971512
2023-03-01,2023,3,Other_Processed,processed_food,National,268.322,128.18220795615187,28.182207956151867
2023-04-01,2023,4,Other_Processed,processed_food,National,269.037,128.52377621625968,28.523776216259666
2023-05-01,2023,5,Other_Processed,processed_food,National,269.86,128.9169380037684,28.9169380037684
2023-06-01,2023,6,Other_Processed,processed_food,National,269.282,128.6408170886043,28.640817088604305
2023-07-01,2023,7,Other_Processed,processed_food,National,269.996,128.9819076308658,28.981907630865816
2023-08-01,2023,8,Other_Processed,processed_food,National,271.023,129.47252385902067,29.472523859020693
2023-09-01,2023,9,Other_Processed,processed_food,National,271.134,129.5255505399605,29.525550539960506
2023-10-01,2023,10,Other_Processed,processed_food,National,271.652,129.7730083843463,29.77300838434629
2023-11-01,2023,11,Other_Processed,processed_food,National,271.49,129.69561809324495,29.695618093244953
2023-12-01,2023,12,Other_Processed,processed_food,National,271.86,129.87237369637768,29.872373696377668
2024-01-01,2024,1,Other_Processed,processed_food,National,272.799,130.3209507540577,30.3209507540577
2024-02-01,2024,2,Other_Processed,processed_food,National,273.241,130.53210204212436,30.532102042124354
2024-03-01,2024,3,Other_Processed,processed_food,National,272.142,130.00709012903556,30.007090129035564
2024-04-01,2024,4,Other_Processed,processed_food,National,272.716,130.28130017281444,30.28130017281443
2024-05-01,2024,5,Other_Processed,processed_food,National,272.686,130.2669686374253,30.26696863742528
2024-06-01,2024,6,Other_Processed,processed_food,National,273.598,130.7026473132551,30.70264731325512
2024-07-01,2024,7,Other_Processed,processed_food,National,272.396,130.12843046199697,30.128430461996953
2024-08-01,2024,8,Other_Processed,processed_food,National,271.915,129.89864817792443,29.898648177924425
2024-09-01,2024,9,Other_Processed,processed_food,National,272.17,130.02046622873212,30.0204662287321
2024-10-01,2024,10,Other_Processed,processed_food,National,272.664,130.2564588448066,30.256458844806577
2024-11-01,2024,11,Other_Processed,processed_food,National,273.351,130.58465100521786,30.584651005217868
2024-12-01,2024,12,Other_Processed,processed_food,National,274.038,130.91284316562917,30.912843165629155
2015-01-01,2015,1,Sweets,processed_food,National,214.024,99.03112305589347,-0.9688769441065184
2015-02-01,2015,2,Sweets,processed_food,National,216.65,100.24620047312133,0.24620047312134738
2015-03-01,2015,3,Sweets,processed_food,National,216.216,100.04538417491995,0.045384174919942274
2015-04-01,2015,4,Sweets,processed_food,National,214.157,99.09266353437457,-0.9073364656254378
2015-05-01,2015,5,Sweets,processed_food,National,216.413,100.13653811673026,0.13653811673025928
2015-06-01,2015,6,Sweets,processed_food,National,215.925,99.91073545884481,-0.08926454115519271
2015-07-01,2015,7,Sweets,processed_food,National,216.926,100.3739085337287,0.37390853372868493
2015-08-01,2015,8,Sweets,processed_food,National,217.194,100.49791491141988,0.4979149114198762
